"citeid","style","casenumber","PdCite","WestCite","issuedate","modified","posteddate","decisiondate","summary","ReleaseDate"
"477595","RADFORD v. RADFORD","113908","2016 OK CIV APP 24","___ P.3d ___","03/11/2016","","3/11/2016 12:00:00 AM","20160414","&para;1 Petitioner/Appellant Robert Judson Radford (""Husband"") seeks interlocutory review of the trial court's denial of his request to disqualify counsel representing Respondent/Appellee Melissa Jennings Radford (""Wife"") when such counsel employed a paralegal who formerly worked for the  guardian ad litem  in the case. Because we find the paralegal was effectively screened from the case, the decision of the trial court is AFFIRMED.","4/14/2016 12:27:35 PM"
"477585","DAVIS v. OKLAHOMA DEPARTMENT OF CORRECTIONS","113773","2016 OK CIV APP 23","___ P.3d ___","03/14/2016","","3/14/2016 12:00:00 AM","20160414","&para;1 Roger Davis appeals the order granting the Oklahoma Department of Corrections' motion to dismiss his petition seeking declaratory and injunctive relief regarding the Oklahoma Sex Offenders Registration Act,  57 O.S.2011 &sect;&sect; 581  through 590.2 (Registration Act). Davis's petition alleges that the application of the Registration Act in his case violates his constitutional rights. The appeal has been assigned to the accelerated docket pursuant to Oklahoma Supreme Court Rule 1.36, 12 O.S. Supp. 2013, ch. 15, app. 1, and the matter stands submitted without appellate briefing.  1   We find no violation of the Ex Post Facto Clause or the Equal Protection Clause as asserted by Davis and affirm the district court's order dismissing his petition in that regard. However, because the district court did not address the validity of Davis's due process claim, the case must be remanded for that determination.","4/14/2016 12:26:08 PM"
"477582","FIRST NATIONAL BANK IN MARLOW v. BICKING","113741","2016 OK CIV APP 22","___ P.3d ___","12/30/2015","","12/30/2015 12:00:00 AM","20160414","&para;1 In this foreclosure action, David W. Bicking and Tammy M. Bicking (Homeowners) appeal a February 17, 2015, order denying their motion for new trial seeking reconsideration of a December 9, 2014, journal entry which denied their motion for summary judgment and granted The First National Bank in Marlow, Oklahoma's (Bank) counter-motion for summary judgment. This appeal proceeds under Oklahoma Supreme Court Rule 1.36, 12 O.S.2011, ch. 15, app.1, without appellate briefing. After review of the record on appeal, we reverse the trial court's order denying reconsideration of the December 9, 2014, journal entry and remand for further proceedings consistent with this opinion.","4/14/2016 12:25:06 PM"
"477579","IN THE MATTER OF THE ADOPTION OF B.T.S.","113714","2016 OK CIV APP 21","___ P.3d ___","03/07/2016","","3/7/2016 12:00:00 AM","20160414","&para;1 Appellant Tamera N. Smith (Mother) appeals from an Order of the trial court determining B.T.S. eligible for adoption without her consent. Mother's appeal raises questions of law concerning deficiencies in the notice she received from Appellees Teresa Nixon and Quahana Nixon (collectively, Adoptive Parents) regarding their application for an order determining B.T.S. eligible for adoption without her consent; the burden of proof applied by the trial court in reaching its determination of such eligibility; and the court's lack of subject matter jurisdiction to render a decision about B.T.S.'s eligibility for adoption because another Oklahoma district court in a different county previously granted guardianship over B.T.S., a guardianship that was ongoing at the time the present proceedings were filed. We affirm the Order as corrected.","4/14/2016 12:23:33 PM"
"477571","SANFORD v. SANFORD","113669","2016 OK CIV APP 20","___ P.3d ___","10/01/2015","","10/1/2015 12:00:00 AM","20160414","&para;1 The defendant, Blaise Allyn Sanford (Husband), appeals an Order granting a continuous protective order against him and in favor of the plaintiffs, Julie Gwen Sanford (Wife) and her minor child, S.D.","4/14/2016 12:22:12 PM"
"477653","O'BRIEN v. BERRY","113216","2016 OK CIV APP 28","___ P.3d ___","03/28/2016","","3/28/2016 12:00:00 AM","20160427","&para;1 Chris Allen Berry appeals an order of protection issued pursuant to the Protection from Domestic Abuse Act,  22 O.S.2011 & Supp. 2013 &sect;&sect; 60  to 60.20, in favor of Sherrine Lynn O'Brien. Berry argues that O'Brien failed to prove an act of domestic abuse required to obtain an order of protection, that the district court erred in refusing to admit certain exhibits he offered during the trial and the district court's order is precluded by a ruling in his favor on the same matter issued by the tribal court in which O'Brien first filed for a protective order. Berry has failed to show an abuse of discretion by the district court, and we affirm.","4/27/2016 9:44:28 AM"
"477646","THE KEY FINANCE, INC. v. KOON","112853","2016 OK CIV APP 27","___ P.3d ___","10/06/2015","","10/6/2015 12:00:00 AM","20160427","&para;1 DJ Koon (Koon) appeals an April 16, 2014, order granting Key Finance, Inc.'s (Key) motion for directed verdict and motion to compel arbitration. Based upon our review of the record and applicable law, we reverse and remand for further proceedings consistent with this opinion.","4/27/2016 9:43:55 AM"
"477708","IN RE THE MARRIAGE OF KING","113628","2016 OK CIV APP 31","___ P.3d ___","11/25/2015","","11/25/2015 12:00:00 AM","20160504","&para;1 This is an appeal of a trial court's order granting a custodial parent's request to relocate the parties' minor children from Oklahoma to Texas. The order is affirmed. It was neither contrary to law nor against the clear weight of the evidence.","5/4/2016 3:35:36 PM"
"477707","WEAVER v. DOE","113532","2016 OK CIV APP 30","___ P.3d ___","04/11/2016","","4/11/2016 12:00:00 AM","20160504","&para;1 Peak Medical Oklahoma No. 3, Inc., d/b/a Forest Hills Care and Rehabilitation Center, appeals a trial court order denying its motion to dismiss, or in the alternative, motion to compel arbitration and stay the judicial proceedings in this negligence action. After reviewing the record on appeal and applicable law, we reverse and remand with directions.","5/4/2016 3:26:16 PM"
"477699","MANAR v. WESSON","113310","2016 OK CIV APP 29","___ P.3d ___","04/08/2016","","4/8/2016 12:00:00 AM","20160504","&para;1 Defendants/Counter-Claimants/Appellants/Counter-Appellees James H. and Jamie Wesson appeal from judgment finding Plaintiffs/Counter-Defendants/Appellees/Counter-Appellants Floyd and Margie M. Manar have an easement by prescription to use a roadway crossing property owned by the Wessons. The Manars appeal the trial court's finding that the road is not a public road. The clear weight of the evidence shows the road was not dedicated to public use nor was there prescription of the way by the public when it was a wagon trail; we therefore affirm the trial court's finding on that question. The clear weight of the evidence also shows, however, that the road was built and used with the permission of the Wessons' predecessors and therefore the trial court erred in finding the Manars have an easement by prescription. Permissive use of a road is a license which does not ripen into an easement. At most the Manars had a license which the Wessons were free to revoke. We therefore reverse the trial court's finding that the Manars have an easement.","5/4/2016 3:24:27 PM"
"477756","SHOPTAW v. STATE ex rel. DEPT. OF PUBLIC SAFETY","113405","2016 OK CIV APP 32","___ P.3d ___","08/27/2015","","8/27/2015 12:00:00 AM","20160510","&para;1 State of Oklahoma  ex rel.  Department of Public Safety (DPS) appeals the trial court's order setting aside a DPS order revoking the license of Austin N. Shoptaw. Based on our review of the relevant facts and applicable law, we affirm the decision of the trial court.  1  ","5/10/2016 11:27:47 AM"
"477756","SHOPTAW v. STATE ex rel. DEPT. OF PUBLIC SAFETY","113405","2016 OK CIV APP 32","___ P.3d ___","08/27/2015","","8/27/2015 12:00:00 AM","20160510","&para;1 State of Oklahoma  ex rel.  Department of Public Safety (DPS) appeals the trial court's order setting aside a DPS order revoking the license of Austin N. Shoptaw. Based on our review of the relevant facts and applicable law, we affirm the decision of the trial court.  1  ","5/10/2016 11:27:47 AM"
"477943","MEDDERS v. YOUNG","114374","2016 OK CIV APP 36","___ P.3d ___","04/26/2016","","4/26/2016 12:00:00 AM","20160525","&para;1 Plaintiffs, Joe Medders and Joe Miller, appeal the summary judgment of the district court holding that the debt for roofing services that plaintiffs attempted to collect was unenforceable. On review, we affirm.","5/25/2016 11:58:30 AM"
"477942","ANDERSON v. WILKEN","113917","2016 OK CIV APP 35","___ P.3d ___","11/30/2015","","11/30/2015 12:00:00 AM","20160525","&para;1 Defendants Salesha Wilken and Newspaper Holdings, Inc. d/b/a Claremore Daily Progress (Newspaper) appeal the ""deemed denial"" of Newspaper's motion to dismiss a false light invasion of privacy suit brought by Plaintiff Robin Kay Anderson (Anderson). On review, we find that the trial court has not held a hearing on this motion, and we have no reviewable order. The current proper remedy pursuant to the Oklahoma Citizens Participation Act (OCPA),  12 O.S. Supp. 2014 &sect;&sect; 1430  through 1440, is a writ ordering the court to hold a hearing. We therefore interpret Newspaper's appellate petition as one seeking a writ, and grant same.","5/25/2016 11:52:30 AM"
"477939","MAXWELL v. FAITH TRANSPORT, LLC","113832","2016 OK CIV APP 34","___ P.3d ___","11/23/2015","","11/23/2015 12:00:00 AM","20160525","&para;1 Claimant Kurt Maxwell seeks review of the March 23, 2015, three-judge panel order reversing the trial court's July 10, 2014, order. The trial court held Oklahoma was a proper jurisdiction for Claimant's workers' compensation claim. The panel, with one dissent, vacated the trial court order, finding jurisdiction lay with Texas. We find Oklahoma to have concurrent jurisdiction with Texas. We vacate the panel's order and remand the matter to the trial court for further proceedings.","5/25/2016 11:50:35 AM"
"477938","DORSEY v. DORSEY","113234","2016 OK CIV APP 33","___ P.3d ___","03/25/2016","","3/25/2016 12:00:00 AM","20160525","&para;1 In this divorce proceeding, Petitioner/Appellant, Roy Paul Dorsey (Husband), appeals from the trial court's award of an indefinite amount of support alimony to Respondent/Appellee, Betty Lillian Dorsey (Wife). Husband also appeals the trial court's alimony in lieu of property division award to Wife in the amount of $294,000.00. Finding the amount of both awards was an abuse of discretion, we reverse and remand the support alimony award and the alimony in lieu of property award for further proceedings.","5/25/2016 11:54:15 AM"
