"citeid","style","casenumber","PdCite","WestCite","issuedate","modified","posteddate","decisiondate","summary","ReleaseDate"
"477504","DANI v. MILLER","114482","2016 OK 35","___ P.3d ___","03/29/2016","","","20160329","&para;0 An owner of unclaimed property filed suit in the District Court of Oklahoma County seeking relief, including damages, declaratory relief, and injunctive relief challenging the constitutionality and administration of the Oklahoma Uniform Unclaimed Property Act, 60 O.S. &sect;&sect; 651-688. The State Treasurer in his official capacity, and other defendants, moved to dismiss the petition for failure to state a claim for which relief could be grated pursuant to  12 O.S. 2011 &sect; 2012 (B)(6). The property owner moved for summary judgment. The trial court granted the defendants' motion to dismiss and denied the property owner's motion for summary judgment, and the property owner appealed.",""
"477513","IN THE MATTER OF M.A.P.W.","112660","2016 OK 39","___ P.3d ___","04/04/2016","","4/4/2016 12:00:00 AM","20160404","&para;1 Rule 1.201 of the Oklahoma Supreme Court Rules provides that ""[i]n any case in which it appears that a prior controlling appellate decision is dispositive of the appeal, the court may summarily affirm or reverse, citing in its order of summary disposition this rule and the controlling decision."" Okla. S. Ct. Rule 1.201.","5/4/2016 3:51:03 PM"
"477538","MAXWELL v. SPRINT PCS","113898","2016 OK 41","___ P.3d ___","04/12/2016","","4/12/2016 12:00:00 AM","20160412","&para;0 The above-styled and numbered causes were made companion cases by this Court's order of October 6, 2015. The dispositive issues in each of the cases are the same. Upon consideration, we conclude that scheduled members are exempt from the AMA Guides under the Administrative Workers' Compensation Act. We also hold that the permanent partial disability deferral provision of  85A O.S. Supp. 2013 &sect; 45 (C)(5) is an unconstitutional violation of due process under Art. 2, &sect; 7 of the Oklahoma Constitution. The deferral of permanent partial disability benefits to a subclass of injured workers under  85A O.S. Supp. 2013 &sect; 46 (C) is an unconstitutional special law in violation of Art. 5, &sect; 59 of the Oklahoma Constitution.","5/4/2016 3:53:08 PM"
"477539","PIERSON v. JOPLIN","114192","2016 OK 40","___ P.3d ___","04/12/2016","","4/12/2016 12:00:00 AM","20160412","&para;1 The questions presented to this Court are whether the Federal Rules of Civil Procedure apply to state court actions and whether the Appellees, judges on the Court of Civil Appeals, are immune from suit. We answer the first question in the negative and the second in the affirmative.","5/4/2016 4:01:23 PM"
"477591","ALLEN v. HARRISON","111877","2016 OK 44","___ P.3d ___","04/19/2016","","","20160419","&para;0 Patient, who accidentally swallowed a nail, brought a medical malpractice action based, inter alia, upon a claim of lack of informed consent against the hospital's emergency room physician after the physician advised patient to ""eat fiber and let the nail pass."" The physician did not, however, disclose the alternative medical options which included endoscopic and surgical removal of the ingested nail. Following severe vomiting, the patient proceeded to a different emergency room. Emergency surgery was performed to remove the nail, and the patient was treated for a perforated and infected bowel. The trial court, Honorable Brent Russell, granted partial summary judgment in favor of the physician on the issue of informed consent, and the Court of Civil Appeals affirmed.",""
"477590","DEPARTMENT OF HUMAN SERVICES v. BRUCE","112070","2016 OK 43","___ P.3d ___","04/19/2016","","4/19/2016 12:00:00 AM","20160419","&para;0 Claimant Nancy Bruce injured her neck on the job on May 14, 2012, and sought workers' compensation benefits. Although her Employer admitted the injury, the trial court denied compensability finding Claimant's employment was not the major cause of her injury. Claimant appealed, and a three-judge panel reversed and found that Claimant's employment was the major cause of the injury to her neck. Employer appealed, and the Court of Civil Appeals reversed the order of the three-judge panel. Upon review, we hold that the three-judge panel's decision finding Claimant's work-related injury on May 14, 2012, was the major cause of Claimant's neck injury is not against the clear weight of the evidence.","5/19/2016 9:43:02 AM"
"477592","ROBINSON v. FAIRVIEW FELLOWSHIP HOME FOR SENIOR CITIZENS, INC.","113735","2016 OK 42","___ P.3d ___","04/19/2016","","4/19/2016 12:00:00 AM","20160419","&para;0 Petitioner Cynthia Robinson was denied workers' compensation benefits after an administrative law judge of the Workers' Compensation Commission found that her injury was not in the course and scope of employment under  85A O.S. Supp. 2013 &sect; 2 (13). Petitioner argued that &sect; 2(13) was an unconstitutional special law and unconstitutionally denied her a remedy for her injury. The ALJ declined to address Petitioner's constitutional arguments, and the Workers' Compensation Commission affirmed. Petitioner appealed, and in an unpublished decision, the Court of Civil Appeals affirmed, declining to address Petitioner's constitutional arguments and suggesting she seek a declaration in the district court regarding the statute's constitutionality. We granted certiorari review in the case. Upon consideration, we hold that the Workers' Compensation Commission has the power to determine whether a provision of Title 85A is being unconstitutionally applied to a particular party in a proceeding before the Commission, and the Commission's decision is subject to review by this Court.","5/19/2016 9:43:17 AM"
"477625","STATE ex rel. OKLAHOMA BAR ASSOCIATION v. GOERKE","SCBD-6382","2016 OK 45","___ P.3d ___","04/25/2016","","4/25/2016 12:00:00 AM","20160425","&para;0 ORDER APPROVING RESIGNATION PENDING DISCIPLINARY PROCEEDINGS ","5/20/2016 2:00:12 PM"
"477632","MURLIN v. PEARMAN","113193","2016 OK 47","___ P.3d ___","04/26/2016","","4/26/2016 12:00:00 AM","20160426","&para;0 The Plaintiff/Appellee, Jacquelyn Tess Murlin (Tess), filed a petition for a victim protection order (VPO) against her ex-boyfriend, the Defendant/Appellant, Jimmy Lee Dial Pearman, Jr. (Pearman). After text messages between the alleged victim and Pearman's ex-wife, Theresa Marie Pearman (Theresa) revealed that the VPO filing was a collaboration between the Tess and Theresa to obtain custody in a child custody dispute against Pearman, Tess withdrew the petition. Pearman sought to have the VPO filing declared frivolous, and to recover attorney fees and costs, pursuant to  22 O.S. Supp. 2013 &sect;60.2 . The trial judge denied his request. The Court of Civil Appeals affirmed. We hold that, pursuant to 22 O. S. 2013 &sect;60.2, the matter was frivolously filed and victimless, and that attorney fees and costs should have been awarded.","5/25/2016 11:49:10 AM"
"477628","LOYD v. MICHELIN NORTH AMERICA, INC.","112754","2016 OK 46","___ P.3d ___","04/26/2016","","4/26/2016 12:00:00 AM","20160426","&para;0 Claimant James Loyd was awarded permanent partial disability benefits after being injured on the job. Loyd did not appeal, and the order became final. Less than a month after such order was issued, Loyd filed a Form 9 requesting continuing medical maintenance and requesting a portion of his permanent partial disability award be commuted to a lump sum payment. Upon consideration, we hold that a claimant may seek to commute his or her permanent partial disability award  after  the hearing on permanent partial disability under  85 O.S. 2001 &sect; 41 (A). Additionally, we conclude that because Loyd did not request reservation of continuing medical maintenance and the trial court's order awarding permanent partial disability did not address or reserve the issue of continuing medical maintenance, Loyd's only recourse was to seek continuing medical maintenance through a reopening proceeding under  85 O.S. 2001 &sect; 28 .","5/25/2016 11:47:52 AM"
"477679","REINSTATEMENT OF CERTIFICATES OF CERTIFIED SHORTHAND REPORTERS","SCAD-2016-37","2016 OK 50","___ P.3d ___","05/02/2016","","","20160502","No Description Available, please check the website.",""
"477678","REVOCATION OF CERTIFICATES OF CERTIFIED SHORTHAND REPORTERS","SCAD-2016-36","2016 OK 49","___ P.3d ___","05/02/2016","","","20160502","No Description Available, please check the website.",""
"477680","STATE ex rel. OKLAHOMA BAR ASSOCIATION v. LEWIS","SCBD-6384","2016 OK 48","___ P.3d ___","05/02/2016","","","20160502","&para;1 On April 25, 2016, George Michael Lewis's affidavit regarding his resignation pending disciplinary proceedings was filed with this Court.  See  Rule 8.1, Rules Governing Disciplinary Proceedings (RGDP), 5 O.S.2011, ch. 1, app. 1-A. Lewis requests that he be allowed to resign his membership in the Oklahoma Bar Association (OBA) and relinquish his right to practice law in Oklahoma pending disciplinary proceedings. The OBA filed its application for an order approving the resignation.",""
"477684","IN RE INITIATIVE PETITION NO. 409, STATE QUESTION NO. 785","114792","2016 OK 51","___ P.3d ___","05/03/2016","","","20160503","&para;0 This is an original proceeding to determine the legal sufficiency of Initiative Petition No. 409. The petition seeks to amend the Oklahoma Constitution by repealing Article 28 and adopting Article 28A. Article 28A would allow wine to be sold in grocery stores. Opponents filed this protest alleging the petition unconstitutionally delegates legislative authority. Opponents also allege the gist of the petition is insufficient and misleading. Upon review, we hold that the gist of the petition does not fairly describe the proposed constitutional amendment and is invalid.",""
"477715","IN RE AMENDMENT TO RULES GOVERNING ADMISSION TO PRACTICE OF LAW","SCAD-2016-39","2016 OK 54","___ P.3d ___","05/09/2016","","","20160509","No Description Available, please check the website.",""
"477717","STATE ex rel. OKLAHOMA BAR ASSOCIATION v. REDD","SCBD-6385","2016 OK 53","___ P.3d ___","05/09/2016","","","20160509","&para;1 Respondent, Michael K. Redd applied, pursuant to Rule 8.1 of the Rules Governing Disciplinary Proceedings (RGDP), (5 O.S. 2011 Ch. 1, App. 1-A), for an order approving his resignation pending disciplinary proceedings. Respondent's application and affidavit of resignation reveal the following:",""
"477718","REVOCATION OF CREDENTIALS OF REGISTERED COURTROOM INTERPRETERS","SCAD-2016-40","2016 OK 52","___ P.3d ___","05/09/2016","","","20160509","No Description Available, please check the website.",""
"477751","AMERICAN BIOMEDICAL GROUP, INC. v. TECHTROL, INC.","113978","2016 OK 55","___ P.3d ___","05/17/2016","","","20160517","&para;0 Plaintiffs brought claims for conversion of personal and intellectual property and for unjust enrichment. Defendants sought partial summary adjudication on the two claims, urging that Oklahoma does not recognize a tort for misappropriation of intangible property not rising to the level of trade secret and that Plaintiffs had an adequate remedy at law preventing them from bringing a claim for unjust enrichment. The district court rendered partial summary adjudication on the two claims in Defendants' favor. The Court of Civil Appeals affirmed, finding that pursuant to Section 92, the Oklahoma Uniform Trade Secrets Act ,  78 O.S.2011, &sect; 92 , displaced Plaintiffs' common-law claims. This Court granted certiorari.",""
"477814","IN RE AMENDMENT OF RULE 5 OF RULES GOVERNING ADMISSION TO PRACTICE OF LAW","SCBD-6349","2016 OK 57","___ P.3d ___","05/23/2016","","","20160523","No Description Available, please check the website.",""
"477844","IN THE MATTER OF THE REINSTATEMENT OF DUKE","SCBD-6200","2016 OK 58","___ P.3d ___","05/24/2016","","","20160524","&para;0 Attorney seeks reinstatement to membership in the Oklahoma Bar Association following his resignation pending discipline in 2000. The Professional Responsibility Tribunal, over the Oklahoma Bar Association's objection, unanimously recommended to deny reinstatement. Upon de novo review, this Court finds the attorney has failed to demonstrate current competency and learning in the law required for reinstatement to membership in the Oklahoma Bar Association.",""
"477831","STATE ex rel. OKLAHOMA BAR ASSOCIATION v. O'LAUGHLIN","SCBD-6319","2016 OK 56","___ P.3d ___","05/24/2016","","","20160524","&para;0 Pursuant to Rule 7.7 of the Oklahoma Rules Governing Disciplinary Proceedings, 5 O.S.2011, ch. 1, app. 1-A, the Oklahoma Bar Association transmitted to the Chief Justice the resignation in lieu of disciplinary proceedings in the state of Texas for Respondent Frederick J. O'Laughlin. O'Laughlin argued his actions did not involve the practice of law, preventing this Court from imposing reciprocal discipline.",""
